Architecture,Benchmark,Instruction Cache Size [B],Data Cache Size [B],CPI
X86,susan,32768,32768,3.958334208
X86,susan,32768,65536,3.914759627
X86,susan,32768,131072,3.904226636
X86,susan,32768,262144,3.90069884
X86,susan,65536,128,24.01367861
X86,susan,65536,256,15.7284143
X86,susan,65536,512,8.074478495
X86,susan,65536,1024,5.389703875
X86,susan,65536,2048,4.060056529
X86,susan,65536,4096,4.025120848
X86,susan,65536,8192,4.014201479
X86,susan,65536,16384,3.999930704
X86,susan,65536,32768,3.94827579
X86,susan,65536,65536,3.905782646
X86,susan,65536,131072,3.895024968
X86,susan,65536,262144,3.893233771
X86,susan,131072,128,24.00101634
X86,susan,131072,256,15.71484278
X86,susan,131072,512,8.062691876
X86,susan,131072,1024,5.379269578
X86,susan,131072,2048,4.056831115
X86,susan,131072,4096,4.021364165
X86,susan,131072,8192,4.008771193
X86,susan,131072,16384,3.995924136
X86,susan,131072,32768,3.946215809
X86,susan,131072,65536,3.90173198
X86,susan,131072,131072,3.890957503
X86,susan,131072,262144,3.890220445
X86,susan,262144,128,23.99801561
X86,susan,262144,256,15.67028126
X86,susan,262144,512,8.061872924
X86,susan,262144,1024,5.383085058
X86,susan,262144,2048,4.056709322
X86,susan,262144,4096,4.021250772
X86,susan,262144,8192,4.006797307
X86,susan,262144,16384,3.994403823
X86,susan,262144,32768,3.945470352
X86,susan,262144,65536,3.900033178
X86,susan,262144,131072,3.890613123
X86,susan,262144,262144,3.88980047
